Date,Calcium,Magnesium,Potassium,Sodium,Chlorures,Nitrates,Sulfates,CalciumLoad_g,MagnesiumLoad_g,PotassiumLoad_g,SodiumLoad_g,ChloruresLoad_g,NitratesLoad_g,SulfatesLoad_g,discharge,LogQ,Turbidity,TempRiver,Date
2015-06-12 15:30:00,3.011805486284289,0.351477366255144,0.0810255754475703,0.6093608695652174,0.974687323943662,0.8780725806451612,0.6684224765868887,0.4818888778054863,0.056236378600823034,0.012964092071611248,0.09749773913043479,0.1559499718309859,0.14049161290322582,0.1069475962539022,0.16,-0.7958800173440752,12.68,18.26,2015-06-12 15:30:00
2015-06-12 16:00:00,3.013406483790523,0.3498559670781893,0.0824424552429667,0.6067521739130435,0.9727211267605632,0.8782693548387097,0.6685421436004162,0.4731048179551121,0.05492738683127572,0.012943465473145772,0.09526009130434783,0.15271721690140844,0.13788828870967743,0.10496111654526534,0.157,-0.8041003475907662,11.75,18.35,2015-06-12 16:00:00
2015-06-12 16:30:00,3.011231920199501,0.350917695473251,0.080542199488491,0.6087913043478261,0.97463661971831,0.879791935483871,0.6698616024973986,0.4745701506234413,0.055304628806584356,0.012693450639386181,0.0959455095652174,0.15360273126760562,0.13865520903225806,0.10557018855359,0.1576,-0.8024437868464636,11.87,18.41,2015-06-12 16:30:00
2015-06-12 17:00:00,3.011062344139651,0.3515349794238682,0.0801841432225064,0.6073521739130434,0.9763605633802818,0.8825354838709677,0.6730884495317379,0.48176997506234415,0.05624559670781891,0.012829462915601025,0.09717634782608695,0.15621769014084508,0.14120567741935483,0.10769415192507806,0.16,-0.7958800173440752,11.91,18.5,2015-06-12 17:00:00
2015-06-12 17:30:00,3.0069999999999997,0.3504197530864197,0.0805319693094629,0.6086086956521739,0.9770169014084508,0.8837903225806452,0.6716097814776276,0.49495219999999995,0.05767909135802468,0.013255562148337592,0.10017699130434782,0.160816981971831,0.1454718870967742,0.11054697003121751,0.1646,-0.783570169123749,12.05,18.5,2015-06-12 17:30:00
2015-06-12 18:00:00,3.0003366583541147,0.348633744855967,0.081314578005115,0.6038173913043479,0.9749971830985916,0.8826483870967743,0.6694536940686786,0.49205521197007485,0.05717593415637859,0.013335590792838862,0.09902605217391305,0.15989953802816903,0.14475433548387098,0.1097904058272633,0.164,-0.7851561519523022,14.64,18.52,2015-06-12 18:00:00
2015-06-12 18:30:00,2.9982443890274313,0.3485226337448559,0.0813554987212276,0.6014478260869565,0.9727774647887324,0.8831161290322581,0.6689979188345474,0.49171207980049875,0.05715771193415638,0.013342301790281327,0.09863744347826087,0.15953550422535212,0.14483104516129033,0.10971565868886578,0.164,-0.7851561519523022,21.42,18.52,2015-06-12 18:30:00
2015-06-12 19:00:00,2.9975137157107232,0.3487037037037037,0.0819411764705882,0.6006391304347826,0.971425352112676,0.8838338709677419,0.6702018730489074,0.49159224937655865,0.05718740740740741,0.013438352941176466,0.09850481739130434,0.15931375774647888,0.14494875483870967,0.10991310718002083,0.164,-0.7851561519523022,13.65,18.46,2015-06-12 19:00:00
2015-06-12 19:30:00,2.996376558603491,0.3490905349794239,0.0815089514066496,0.5990826086956522,0.9699971830985916,0.8841645161290322,0.6724921956295525,0.47762242344139644,0.05564503127572016,0.012992526854219946,0.09549376782608696,0.15461755098591548,0.14093582387096773,0.10719525598335067,0.1594,-0.7975116829399065,12.31,18.41,2015-06-12 19:30:00
2015-06-12 20:00:00,3.001750623441396,0.3507283950617284,0.0814501278772378,0.5988391304347827,0.9701098591549296,0.8853967741935483,0.6769791883454734,0.4712748478802992,0.05506435802469136,0.012787670076726333,0.09401774347826088,0.15230724788732394,0.1390072935483871,0.10628573257023934,0.157,-0.8041003475907662,12.14,18.36,2015-06-12 20:00:00
