,Date,Statut,Chromechant,cond,COT,DOxygen,Debit,pH,Pression,TempRiver,TempContainer,Turbidity,Turb,Chrom1,Chrom2,Eau,TG,Filtre,Acide1,Base1,Acide,Base,AC,StatutCM,UPS ,Type,Lithium,Magnesium,Potassium,Calcium,Sodium,Strontium,Fluorures,Sulfates,Nitrates,Chlorures,Phosphate,DebitRiv,discharge
952,2015-06-12 15:52:00,4,5.0,721.0,27.53,8.94,759.0,8.29,4.9,18.26,30.5,12.68,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35147736625514403,0.08102557544757033,3.011805486284289,0.6093608695652174,,0.2614,0.6684224765868887,0.8780725806451612,0.9746873239436619,0.5879,160.0,0.16
982,2015-06-12 16:22:00,4,0.0,720.0,30.49,8.9,759.0,8.3,3.8,18.35,30.4,11.75,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3498559670781893,0.08244245524296676,3.0134064837905234,0.6067521739130435,,0.1288,0.6685421436004162,0.8782693548387097,0.9727211267605633,,157.0,0.157
1012,2015-06-12 16:52:00,4,0.0,720.0,26.59,8.85,757.0,8.29,2.9,18.41,28.7,11.87,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.350917695473251,0.08054219948849105,3.011231920199501,0.6087913043478261,,0.1297,0.6698616024973986,0.879791935483871,0.97463661971831,,157.6,0.1576
1042,2015-06-12 17:22:00,4,0.0,721.0,30.3,8.79,772.0,8.3,5.2,18.5,26.5,11.91,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35153497942386824,0.0801841432225064,3.011062344139651,0.6073521739130434,,0.1266,0.6730884495317379,0.8825354838709677,0.9763605633802818,,160.0,0.16
1072,2015-06-12 17:52:00,4,0.0,721.0,26.89,8.71,759.0,8.29,4.0,18.5,25.3,12.05,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35041975308641976,0.08053196930946291,3.0069999999999997,0.6086086956521739,,0.1242,0.6716097814776276,0.8837903225806452,0.9770169014084508,,164.6,0.1646
1102,2015-06-12 18:22:00,4,0.0,721.0,28.52,8.66,759.0,8.28,3.7,18.52,25.2,14.64,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.34863374485596704,0.08131457800511509,3.0003366583541147,0.6038173913043479,,0.1282,0.6694536940686786,0.8826483870967743,0.9749971830985916,,164.0,0.164
1132,2015-06-12 18:52:00,4,0.0,721.0,28.37,8.63,755.0,8.28,5.3,18.52,25.5,21.42,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3485226337448559,0.08135549872122762,2.9982443890274313,0.6014478260869565,,0.1299,0.6689979188345474,0.8831161290322581,0.9727774647887324,,164.0,0.164
1162,2015-06-12 19:22:00,4,0.0,722.0,29.69,8.55,759.0,8.28,4.1,18.46,25.6,13.65,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3487037037037037,0.08194117647058823,2.9975137157107232,0.6006391304347826,,0.1221,0.6702018730489074,0.8838338709677419,0.971425352112676,0.4017,164.0,0.164
1192,2015-06-12 19:52:00,4,0.0,723.0,28.54,8.55,759.0,8.26,3.5,18.41,25.5,12.31,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3490905349794239,0.08150895140664961,2.996376558603491,0.5990826086956522,,0.1238,0.6724921956295525,0.8841645161290322,0.9699971830985915,0.4211,159.4,0.15940000000000001
1222,2015-06-12 20:22:00,4,0.0,724.0,27.99,8.5,761.0,8.26,4.8,18.36,25.1,12.14,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3507283950617284,0.08145012787723785,3.001750623441396,0.5988391304347827,,0.126,0.6769791883454734,0.8853967741935483,0.9701098591549295,0.3789,157.0,0.157
1252,2015-06-12 20:52:00,4,0.0,725.0,28.75,8.49,759.0,8.26,3.3,18.32,24.8,11.99,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35266255144032915,0.08164450127877237,3.0038703241895264,0.5988,,0.1261,0.6794401664932362,0.8841274193548387,0.9684056338028169,,157.0,0.157
1282,2015-06-12 21:22:00,4,0.0,725.0,28.48,8.47,776.0,8.24,5.4,18.23,24.4,14.46,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3538436213991769,0.08158823529411764,3.0059725685785534,0.5972304347826087,,0.131,0.6812445369406869,0.8827,0.966918309859155,0.4108,159.4,0.15940000000000001
1312,2015-06-12 21:52:00,4,0.0,726.0,27.07,8.47,759.0,8.24,4.1,18.15,24.1,12.19,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35440329218107,0.08157033248081841,3.007733167082294,0.5958739130434783,,0.1296,0.6815275754422476,0.8794403225806452,0.9656676056338027,,157.6,0.1576
1342,2015-06-12 22:22:00,4,0.0,727.0,30.22,8.53,774.0,8.24,4.0,18.04,23.9,12.2,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3557201646090535,0.08178005115089514,3.020266832917706,0.5980826086956522,,0.1276,0.6812424557752341,0.8778290322580645,0.9662788732394366,,157.0,0.157
1372,2015-06-12 22:52:00,4,0.0,730.0,28.08,8.57,774.0,8.23,5.2,17.95,23.6,12.01,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3561152263374486,0.08173145780051151,3.021783042394015,0.5998652173913044,,0.1288,0.6836160249739854,0.8774629032258064,0.967374647887324,0.3702,157.0,0.157
1403,2015-06-12 23:23:00,4,0.0,731.0,28.44,8.59,759.0,8.22,4.0,17.84,23.6,11.83,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3567448559670782,0.08190281329923273,3.025219451371571,0.6016478260869565,,0.1295,0.6870863683662851,0.878216129032258,0.9687042253521128,0.3313,157.9,0.1579
1433,2015-06-12 23:53:00,4,0.0,731.0,28.25,8.61,761.0,8.23,4.8,17.77,23.4,11.93,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3552798353909465,0.08184910485933504,3.02415710723192,0.6024782608695652,,0.1267,0.6831706555671175,0.8785838709677419,0.9708957746478873,0.3778,164.9,0.16490000000000002
1463,2015-06-13 00:23:00,4,0.0,731.0,28.73,8.69,772.0,8.23,4.5,17.71,23.5,12.19,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35272839506172843,0.08165217391304348,3.0272867830423937,0.6014652173913043,,0.1254,0.6780332986472426,0.8799048387096774,0.9722056338028169,0.3909,164.0,0.164
1493,2015-06-13 00:53:00,4,0.0,732.0,29.1,8.69,774.0,8.24,2.5,17.59,23.4,12.23,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3524074074074074,0.08186700767263427,3.030057356608479,0.6032434782608695,,0.1273,0.675222684703434,0.8819370967741936,0.9715915492957747,,164.9,0.16490000000000002
1523,2015-06-13 01:23:00,4,0.0,732.0,30.07,8.75,774.0,8.24,4.9,17.48,23.3,12.12,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35156790123456794,0.08203324808184143,3.029139650872818,0.6045652173913043,,0.1247,0.6725848074921957,0.8847693548387097,0.9743408450704226,0.4178,164.0,0.164
1553,2015-06-13 01:53:00,4,0.0,732.0,28.63,8.81,764.0,8.24,3.3,17.34,23.3,12.24,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3512633744855967,0.08245524296675193,3.026798004987531,0.6066173913043478,,0.123,0.6695369406867846,0.8856935483870967,0.9758084507042253,,164.0,0.164
1583,2015-06-13 02:23:00,4,0.0,733.0,28.45,8.85,759.0,8.23,5.3,17.21,23.3,12.22,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35112757201646094,0.08269565217391305,3.027019950124688,0.6083739130434782,,0.1232,0.6675504682622269,0.8866209677419356,0.9768366197183099,,166.1,0.1661
1613,2015-06-13 02:53:00,4,0.0,733.0,28.81,8.88,774.0,8.23,3.4,17.08,23.3,12.55,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3516378600823045,0.08317135549872122,3.0307107231920196,0.6110695652173913,,0.1233,0.6661550468262227,0.8878387096774193,0.9781887323943663,0.4037,167.0,0.167
1643,2015-06-13 03:23:00,4,0.0,734.0,28.01,8.92,770.0,8.24,5.3,16.93,23.1,12.13,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3511975308641975,0.08337084398976981,3.0302693266832916,0.6113652173913043,,0.128,0.6648678459937565,0.8879806451612903,0.9789211267605634,0.4294,164.9,0.16490000000000002
1673,2015-06-13 03:53:00,4,0.0,736.0,27.67,8.97,759.0,8.23,4.1,16.82,23.2,12.12,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3518230452674897,0.08360102301790281,3.0423965087281797,0.6118826086956521,,0.1214,0.6642507804370448,0.8866112903225807,0.9773915492957747,0.4073,164.9,0.16490000000000002
1703,2015-06-13 04:23:00,4,0.0,736.0,27.73,9.0,757.0,8.24,4.3,16.7,23.1,12.3,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3526831275720164,0.08382864450127876,3.054872817955112,0.6122173913043478,,0.1243,0.6640967741935484,0.8850838709677419,0.9761295774647887,0.3544,164.9,0.16490000000000002
1733,2015-06-13 04:53:00,4,0.0,737.0,28.07,9.06,763.0,8.24,4.6,16.59,23.2,12.9,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.352559670781893,0.08392838874680307,3.05815710723192,0.6132130434782609,,0.124,0.6646534859521332,0.8839435483870968,0.9765802816901408,0.3731,167.0,0.167
1763,2015-06-13 05:23:00,4,0.0,737.0,30.51,9.07,776.0,8.24,2.8,16.48,23.2,12.26,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35233333333333333,0.08411764705882353,3.0579027431421446,0.6127347826086956,,0.1239,0.6652018730489074,0.884558064516129,0.9779971830985915,0.4082,164.0,0.164
1793,2015-06-13 05:53:00,4,0.0,737.0,30.78,9.1,772.0,8.24,5.1,16.41,23.1,13.68,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35200823045267493,0.08404092071611254,3.0613216957605984,0.6122130434782609,,0.1266,0.6665962539021852,0.8866516129032258,0.9781802816901408,,167.0,0.167
1823,2015-06-13 06:23:00,4,0.0,737.0,28.74,9.18,768.0,8.24,3.7,16.34,23.1,13.05,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35133744855967075,0.08385933503836317,3.054221945137157,0.6110260869565217,,0.1259,0.6682008324661811,0.8887322580645161,0.9766788732394366,0.4898,164.9,0.16490000000000002
1853,2015-06-13 06:53:00,4,0.0,736.0,27.66,9.19,771.0,8.24,3.5,16.3,23.2,11.76,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35109053497942383,0.08362915601023017,3.0534738154613463,0.6105695652173914,,0.1255,0.6699386056191468,0.891208064516129,0.9775154929577464,,167.0,0.167
1883,2015-06-13 07:23:00,4,0.0,735.0,28.47,9.34,774.0,8.25,5.3,16.33,23.0,12.18,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35073662551440327,0.0832838874680307,3.046336658354115,0.6117478260869565,,0.1261,0.6720853277835589,0.8924661290322581,0.9790507042253522,,167.0,0.167
1913,2015-06-13 07:53:00,4,0.0,735.0,30.53,9.35,770.0,8.25,4.1,16.35,23.3,12.11,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3502798353909465,0.08319437340153452,3.037496259351621,0.6123782608695653,,0.124,0.6718501560874091,0.8928306451612903,0.9789830985915493,0.4165,167.0,0.167
1943,2015-06-13 08:23:00,4,0.0,734.0,28.09,9.44,772.0,8.27,4.3,16.46,23.7,14.51,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35025925925925927,0.08315601023017902,3.0336309226932667,0.6115826086956522,,0.1257,0.6711529656607701,0.8916016129032258,0.9781323943661973,,167.0,0.167
1973,2015-06-13 08:53:00,4,0.0,733.0,27.44,9.49,766.0,8.28,4.6,16.52,24.2,11.62,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35030041152263375,0.08314578005115089,3.035992518703242,0.6118130434782608,,0.1268,0.6710957336108221,0.8908532258064517,0.9763521126760563,,166.1,0.1661
2003,2015-06-13 09:23:00,4,0.0,733.0,28.21,9.55,772.0,8.29,2.8,16.61,24.5,11.8,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35025925925925927,0.08303324808184143,3.0376982543640896,0.6086826086956522,,0.1254,0.6692809573361082,0.8873725806451612,0.9735915492957746,,164.0,0.164
2034,2015-06-13 09:54:00,4,0.0,733.0,28.11,9.59,757.0,8.29,5.2,16.7,25.2,11.58,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3498559670781893,0.08342710997442455,3.0388154613466334,0.6091913043478261,,0.1256,0.6694089490114465,0.8871064516129032,0.9720901408450704,0.4111,164.0,0.164
2064,2015-06-13 10:24:00,4,0.0,733.0,28.16,9.63,776.0,8.3,4.0,16.76,25.4,15.07,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3501522633744856,0.08339130434782609,3.0414039900249374,0.6088521739130435,,0.1266,0.6693839750260145,0.8877064516129032,0.9719915492957746,0.3813,166.4,0.1664
2094,2015-06-13 10:54:00,4,0.0,730.0,27.78,9.59,759.0,8.31,3.5,16.78,25.5,12.69,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3500617283950618,0.08344245524296674,3.0444189526184537,0.6083913043478261,,0.1227,0.6675182101977107,0.8880209677419354,0.9718788732394366,,173.6,0.1736
2124,2015-06-13 11:24:00,4,0.0,731.0,28.21,9.61,768.0,8.3,5.5,16.82,25.5,12.74,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.34625102880658437,0.08363682864450128,3.040511221945137,0.6063173913043478,,0.1233,0.6597127991675339,0.8900112903225806,0.9720788732394366,0.4263,164.0,0.164
2154,2015-06-13 11:54:00,4,0.0,733.0,28.37,9.6,773.0,8.3,4.4,16.84,25.6,16.37,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.34779423868312753,0.08344501278772379,3.0442219451371573,0.6083086956521739,,0.123,0.668009365244537,0.8884532258064516,0.9715014084507043,,164.0,0.164
2184,2015-06-13 12:24:00,4,0.0,747.0,29.04,9.47,763.0,8.3,2.7,16.88,25.6,20.1,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35334979423868307,0.0849386189258312,3.083423940149626,0.6136913043478261,,0.1243,0.6947169614984391,0.8877758064516129,0.9756788732394367,0.3841,164.0,0.164
2214,2015-06-13 12:54:00,4,0.0,737.0,28.83,9.47,757.0,8.31,5.2,16.95,25.7,16.02,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.353082304526749,0.0888849104859335,3.1038877805486282,0.6150913043478261,,0.1271,0.7142944849115505,0.8868193548387097,0.9769352112676055,0.4382,164.0,0.164
2244,2015-06-13 13:24:00,4,0.0,729.0,28.23,9.45,757.0,8.32,4.1,17.04,25.6,13.54,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3478600823045267,0.08626598465473145,3.0528902743142146,0.6082782608695652,,0.1291,0.6861841831425599,0.8880548387096774,0.9735521126760565,0.4039,162.4,0.16240000000000002
2274,2015-06-13 13:54:00,4,0.0,726.0,28.04,9.37,770.0,8.32,3.7,17.16,25.5,13.77,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.346119341563786,0.08282608695652174,3.0271670822942642,0.603995652173913,,0.124,0.6705952133194589,0.8893322580645161,0.9717605633802817,0.3712,162.4,0.16240000000000002
2304,2015-06-13 14:24:00,4,0.0,724.0,27.06,9.33,766.0,8.32,4.9,17.28,25.4,13.13,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.34603292181069956,0.08126342710997442,3.0158154613466333,0.6040130434782609,,0.1233,0.6668074921956296,0.890183870967742,0.9722281690140845,0.3998,165.8,0.1658
2334,2015-06-13 14:54:00,4,0.0,723.0,27.64,9.3,759.0,8.33,3.3,17.39,25.3,12.63,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.34629629629629627,0.08036317135549871,3.0128628428927677,0.6029521739130435,,0.1269,0.6652330905306972,0.8893209677419355,0.9722366197183099,0.3832,161.6,0.1616
2364,2015-06-13 15:24:00,4,0.0,722.0,27.88,9.19,761.0,8.33,5.4,17.51,25.1,12.54,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.34582716049382717,0.0797237851662404,3.004451371571072,0.6013956521739131,,0.122,0.6653173777315297,0.8889112903225806,0.9717154929577464,,161.6,0.1616
2394,2015-06-13 15:54:00,4,0.0,721.0,27.05,9.13,778.0,8.33,4.3,17.64,24.9,12.68,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.34590534979423865,0.07944757033248082,3.0016234413965086,0.6001000000000001,,0.1225,0.6652653485952134,0.8892790322580645,0.9719211267605634,0.3826,160.0,0.16
2424,2015-06-13 16:24:00,4,0.0,721.0,28.06,9.09,764.0,8.32,2.9,17.77,24.7,12.93,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3460534979423868,0.07928900255754476,2.9976832917705734,0.5992608695652174,,0.1263,0.6642330905306972,0.8856048387096774,0.9692056338028168,0.3801,158.8,0.15880000000000002
2454,2015-06-13 16:54:00,4,0.0,721.0,27.99,9.06,761.0,8.32,5.0,17.84,25.1,13.3,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.34587242798353907,0.07945012787723785,2.995059850374065,0.5986869565217391,,0.1241,0.6660291363163371,0.885658064516129,0.9691718309859155,0.3975,160.0,0.16
2484,2015-06-13 17:24:00,4,0.0,721.0,27.85,8.95,757.0,8.31,3.7,17.93,25.2,13.09,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.34572016460905347,0.07940409207161124,2.9904738154613466,0.5973565217391305,,0.1225,0.6656181061394381,0.8854451612903226,0.9680957746478874,,160.0,0.16
2514,2015-06-13 17:54:00,4,0.0,721.0,27.87,8.89,757.0,8.3,5.0,18.0,25.1,17.55,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3465843621399177,0.07931713554987213,2.9957680798004986,0.5963173913043478,,0.1207,0.6658418314255984,0.8845338709677419,0.9670732394366197,0.3785,158.8,0.15880000000000002
2544,2015-06-13 18:24:00,4,0.0,721.0,28.36,8.85,761.0,8.29,4.6,18.04,25.3,13.88,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3468971193415638,0.07949872122762149,2.994047381546135,0.5969826086956522,,0.1213,0.6662819979188347,0.8860790322580645,0.9667633802816901,,164.0,0.164
2574,2015-06-13 18:54:00,4,0.0,721.0,27.97,8.77,778.0,8.28,3.5,18.07,25.5,13.13,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.34801646090534977,0.07969565217391304,3.0000224438902743,0.5971652173913043,,0.1242,0.6661581685744017,0.887141935483871,0.9668169014084508,0.366,159.8,0.1598
2604,2015-06-13 19:24:00,4,0.0,722.0,27.76,8.73,753.0,8.27,5.5,18.04,25.2,13.59,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3491028806584362,0.07938363171355498,3.0023291770573564,0.5973869565217391,,0.1229,0.6684765868886577,0.8899451612903226,0.967338028169014,0.3745,157.0,0.157
2634,2015-06-13 19:54:00,4,0.0,723.0,27.86,8.68,757.0,8.26,4.3,18.04,24.9,14.45,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35034156378600817,0.07952685421994884,3.0040299251870324,0.5954956521739131,,0.1269,0.669528616024974,0.8883774193548387,0.9666338028169014,0.4164,157.0,0.157
2664,2015-06-13 20:24:00,4,0.0,723.0,27.34,8.62,753.0,8.26,3.0,17.99,24.5,13.9,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3505761316872428,0.07927877237851662,3.0033216957605986,0.5955434782608695,,0.1244,0.6716243496357961,0.8886887096774194,0.9658788732394366,0.4046,157.0,0.157
2695,2015-06-13 20:55:00,4,0.0,724.0,27.44,8.63,755.0,8.26,4.9,17.9,24.2,14.12,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3512798353909465,0.07935805626598465,3.0070498753117207,0.5981130434782609,,0.1242,0.6716566077003122,0.889658064516129,0.965969014084507,0.3959,158.5,0.1585
2725,2015-06-13 21:25:00,4,0.0,724.0,27.62,8.65,753.0,8.25,3.6,17.81,24.1,14.89,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.351559670781893,0.07936828644501279,3.007783042394015,0.5990826086956522,,0.1228,0.672140478668054,0.8889758064516129,0.9665323943661972,0.3831,157.0,0.157
2755,2015-06-13 21:55:00,4,0.0,725.0,27.81,8.71,761.0,8.25,5.4,17.7,23.7,16.52,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3515102880658436,0.07920204603580562,3.0042044887780546,0.5986521739130435,,0.1227,0.6719885535900105,0.8878274193548387,0.9661098591549296,0.4047,157.0,0.157
2785,2015-06-13 22:25:00,4,0.0,726.0,27.16,8.69,753.0,8.25,4.3,17.55,23.5,14.04,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3515267489711934,0.07920971867007673,3.005281795511222,0.5979043478260869,,0.1232,0.6735712799167534,0.8881145161290322,0.9666535211267606,0.4111,157.0,0.157
2815,2015-06-13 22:55:00,4,0.0,727.0,27.6,8.72,761.0,8.24,3.6,17.39,23.4,13.92,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3522304526748971,0.07939386189258311,3.0065461346633415,0.5975826086956522,,0.1269,0.6753694068678461,0.8874129032258063,0.9661436619718309,0.4247,157.0,0.157
2845,2015-06-13 23:25:00,4,0.0,727.0,29.59,8.78,762.0,8.24,5.4,17.24,23.2,14.35,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35260082304526746,0.07951918158567775,3.0103541147132167,0.5969217391304348,,0.1269,0.6755691987513008,0.8874774193548387,0.9658169014084506,0.3917,157.0,0.157
2875,2015-06-13 23:55:00,4,0.0,728.0,27.73,8.85,766.0,8.24,4.2,17.08,23.2,14.04,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3535020576131687,0.07984398976982097,3.014074812967581,0.5972304347826087,,0.1276,0.6749812695109262,0.8879967741935484,0.9653352112676056,0.3847,160.0,0.16
2905,2015-06-14 00:25:00,4,0.0,729.0,27.62,8.89,755.0,8.24,4.1,16.92,23.0,14.26,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35376543209876543,0.0799079283887468,3.0168104738154615,0.5978782608695653,,0.1223,0.6751675338189387,0.8887338709677419,0.9656845070422534,0.4111,160.0,0.16
2935,2015-06-14 00:55:00,4,0.0,730.0,30.37,8.94,755.0,8.25,4.7,16.74,23.1,14.86,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3537818930041152,0.08033248081841432,3.023239401496259,0.6004608695652174,,0.124,0.6755681581685744,0.8904403225806451,0.9673267605633803,0.4062,160.0,0.16
2965,2015-06-14 01:25:00,4,0.0,732.0,27.64,9.01,778.0,8.24,3.1,16.56,23.0,14.25,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3548024691358025,0.08075447570332481,3.036728179551122,0.6023173913043479,,0.1237,0.6766784599375651,0.8923241935483871,0.9692,0.3955,162.0,0.162
2995,2015-06-14 01:55:00,4,0.0,732.0,27.68,9.04,759.0,8.24,5.2,16.42,22.8,14.27,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35489300411522634,0.08092583120204604,3.0359600997506235,0.6043652173913043,,0.1213,0.6768043704474506,0.8945225806451613,0.9712478873239437,0.3831,164.0,0.164
3025,2015-06-14 02:25:00,4,0.0,733.0,28.42,9.08,770.0,8.24,3.8,16.25,23.0,14.24,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3543991769547325,0.08092327365728899,3.034783042394015,0.605108695652174,,0.1221,0.6746899063475547,0.8942048387096774,0.9718478873239437,,164.0,0.164
3055,2015-06-14 02:55:00,4,0.0,734.0,28.23,9.15,768.0,8.24,3.7,16.09,23.0,14.21,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.35403292181069956,0.08065728900255754,3.0348852867830423,0.6068652173913044,,0.1233,0.6734484911550469,0.895391935483871,0.9740112676056337,,165.5,0.1655
3085,2015-06-14 03:25:00,4,0.0,734.0,27.67,9.19,761.0,8.24,5.5,15.96,22.9,14.44,OK,OK,PLEIN,OK,ON,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3540987654320987,0.08066496163682864,3.0386857855361593,0.6091260869565217,,0.123,0.6718241415192507,0.8974741935483871,0.9756197183098593,,165.5,0.1655
3115,2015-06-14 03:55:00,4,0.0,735.0,27.48,9.22,774.0,8.24,4.3,15.78,22.9,14.42,OK,OK,PLEIN,OK,OFF,OK,OK,OK,OK,on,OK,RESEAU,,Unknown,,0.3542592592592592,0.08094117647058824,3.041117206982544,0.6118086956521739,,0.123,0.6723413111342351,0.9023709677419355,0.9780140845070422,,164.0,0.164
